K	Rep	CV
1	1	0.47831
1	10	0.48213
1	2	0.48234
1	3	0.48134
1	4	0.47992
1	5	0.4802
1	6	0.48262
1	7	0.48187
1	8	0.48056
1	9	0.48126
2	1	0.34195
2	10	0.34098
2	2	0.34569
2	3	0.34348
2	4	0.34296
2	5	0.34314
2	6	0.34268
2	7	0.33984
2	8	0.33994
2	9	0.34307
3	1	0.3536
3	10	0.33932
3	2	0.33885
3	3	0.37741
3	4	0.33989
3	5	0.33701
3	6	0.33823
3	7	0.33798
3	8	0.3541
3	9	0.33585
4	1	0.35241
4	10	0.35388
4	2	0.34513
4	3	0.36152
4	4	0.36747
4	5	0.34853
4	6	0.35346
4	7	0.36505
4	8	0.35917
4	9	0.36765
5	1	0.36494
5	10	0.39695
5	2	0.37464
5	3	0.37131
5	4	0.38306
5	5	0.38559
5	6	0.38272
5	7	0.38658
5	8	0.38778
5	9	0.37964
6	1	0.4028
6	10	0.41526
6	2	0.42683
6	3	0.41658
6	4	0.43868
6	5	0.41344
6	6	0.42599
6	7	0.40037
6	8	0.42156
6	9	0.4301
7	1	0.42271
7	10	0.45907
7	2	0.44092
7	3	0.45138
7	4	0.44768
7	5	0.40907
7	6	0.42463
7	7	0.45644
7	8	0.43808
7	9	0.44284
8	1	0.47529
8	10	0.45314
8	2	0.44195
8	3	0.44816
8	4	0.45075
8	5	0.45633
8	6	0.46354
8	7	0.46186
8	8	0.46049
8	9	0.458
9	1	0.49469
9	10	0.46695
9	2	0.49379
9	3	0.48753
9	4	0.45375
9	5	0.5212
9	6	0.46827
9	7	0.45207
9	8	0.48485
9	9	0.48828
10	1	0.51157
10	10	0.51822
10	2	0.47404
10	3	0.47045
10	4	0.48399
10	5	0.52872
10	6	0.497
10	7	0.46732
10	8	0.48789
10	9	0.51085
