K	Rep	CV
1	1	0.22177
1	10	0.22203
1	2	0.22118
1	3	0.22217
1	4	0.22141
1	5	0.22165
1	6	0.22226
1	7	0.22161
1	8	0.22176
1	9	0.22157
2	1	0.19679
2	10	0.20018
2	2	0.1948
2	3	0.19743
2	4	0.19713
2	5	0.19763
2	6	0.19187
2	7	0.1964
2	8	0.19653
2	9	0.19749
3	1	0.18091
3	10	0.17844
3	2	0.17656
3	3	0.17412
3	4	0.18086
3	5	0.17699
3	6	0.17903
3	7	0.17872
3	8	0.17565
3	9	0.17254
4	1	0.16795
4	10	0.16443
4	2	0.16299
4	3	0.16764
4	4	0.16369
4	5	0.16207
4	6	0.16706
4	7	0.16891
4	8	0.16042
4	9	0.16067
5	1	0.15474
5	10	0.1528
5	2	0.16244
5	3	0.15344
5	4	0.15593
5	5	0.15387
5	6	0.16865
5	7	0.15627
5	8	0.1554
5	9	0.15649
6	1	0.15356
6	10	0.16507
6	2	0.15352
6	3	0.16698
6	4	0.15219
6	5	0.15342
6	6	0.16479
6	7	0.16457
6	8	0.15288
6	9	0.15376
7	1	0.15134
7	10	0.16005
7	2	0.15052
7	3	0.15008
7	4	0.16227
7	5	0.15554
7	6	0.16027
7	7	0.15622
7	8	0.16046
7	9	0.15502
8	1	0.16117
8	10	0.15201
8	2	0.15327
8	3	0.16389
8	4	0.16682
8	5	0.16194
8	6	0.16134
8	7	0.15301
8	8	0.1606
8	9	0.16089
9	1	0.15748
9	10	0.15849
9	2	0.16767
9	3	0.15392
9	4	0.16043
9	5	0.16555
9	6	0.16543
9	7	0.15959
9	8	0.1585
9	9	0.15962
10	1	0.155
10	10	0.17113
10	2	0.16127
10	3	0.15963
10	4	0.16182
10	5	0.16454
10	6	0.15963
10	7	0.15624
10	8	0.16318
10	9	0.15877
