K	Rep	CV
1	1	0.35919
1	10	0.35824
1	2	0.35978
1	3	0.35969
1	4	0.35912
1	5	0.35871
1	6	0.35897
1	7	0.35905
1	8	0.35878
1	9	0.36046
2	1	0.289
2	10	0.28826
2	2	0.28864
2	3	0.28821
2	4	0.28872
2	5	0.28837
2	6	0.28921
2	7	0.28948
2	8	0.2876
2	9	0.28822
3	1	0.2732
3	10	0.27591
3	2	0.2694
3	3	0.2732
3	4	0.27505
3	5	0.27507
3	6	0.28017
3	7	0.27577
3	8	0.27553
3	9	0.27315
4	1	0.26209
4	10	0.26134
4	2	0.26288
4	3	0.26115
4	4	0.26063
4	5	0.26221
4	6	0.28381
4	7	0.26075
4	8	0.26187
4	9	0.27623
5	1	0.26162
5	10	0.26019
5	2	0.26175
5	3	0.26485
5	4	0.26328
5	5	0.26289
5	6	0.26607
5	7	0.26494
5	8	0.26572
5	9	0.26156
6	1	0.26788
6	10	0.26032
6	2	0.26059
6	3	0.26965
6	4	0.26383
6	5	0.26862
6	6	0.26219
6	7	0.2712
6	8	0.26107
6	9	0.26282
7	1	0.26827
7	10	0.266
7	2	0.28821
7	3	0.26549
7	4	0.28359
7	5	0.26843
7	6	0.2615
7	7	0.27831
7	8	0.26942
7	9	0.27722
8	1	0.28864
8	10	0.28256
8	2	0.26752
8	3	0.25783
8	4	0.30876
8	5	0.28943
8	6	0.28486
8	7	0.28316
8	8	0.28342
8	9	0.28379
9	1	0.2996
9	10	0.28885
9	2	0.27073
9	3	0.28609
9	4	0.27456
9	5	0.33719
9	6	0.29404
9	7	0.30273
9	8	0.31598
9	9	0.29293
10	1	0.33445
10	10	0.30879
10	2	0.33389
10	3	0.30484
10	4	0.30444
10	5	0.30413
10	6	0.31868
10	7	0.30739
10	8	0.33115
10	9	0.29863
