K	Rep	CV
1	1	0.2316
1	10	0.23361
1	2	0.23393
1	3	0.2295
1	4	0.2337
1	5	0.23421
1	6	0.23047
1	7	0.23102
1	8	0.23218
1	9	0.23455
2	1	0.19345
2	10	0.19186
2	2	0.19266
2	3	0.19112
2	4	0.19169
2	5	0.19357
2	6	0.19369
2	7	0.20491
2	8	0.20352
2	9	0.2054
3	1	0.16762
3	10	0.16816
3	2	0.18354
3	3	0.1671
3	4	0.16719
3	5	0.16737
3	6	0.16712
3	7	0.16756
3	8	0.16745
3	9	0.16934
4	1	0.16161
4	10	0.15916
4	2	0.16333
4	3	0.16868
4	4	0.16621
4	5	0.16653
4	6	0.16122
4	7	0.15857
4	8	0.15741
4	9	0.15791
5	1	0.152
5	10	0.1539
5	2	0.15999
5	3	0.15049
5	4	0.15464
5	5	0.15735
5	6	0.15183
5	7	0.16308
5	8	0.15834
5	9	0.1576
6	1	0.15134
6	10	0.14501
6	2	0.15237
6	3	0.14633
6	4	0.1605
6	5	0.1459
6	6	0.14914
6	7	0.15528
6	8	0.14625
6	9	0.14943
7	1	0.14616
7	10	0.14791
7	2	0.14921
7	3	0.15205
7	4	0.14553
7	5	0.14456
7	6	0.15357
7	7	0.14334
7	8	0.14823
7	9	0.15579
8	1	0.14382
8	10	0.14417
8	2	0.14902
8	3	0.14308
8	4	0.14244
8	5	0.1444
8	6	0.15237
8	7	0.14466
8	8	0.14204
8	9	0.15038
9	1	0.14855
9	10	0.14718
9	2	0.1457
9	3	0.1406
9	4	0.14001
9	5	0.14566
9	6	0.14607
9	7	0.14098
9	8	0.14311
9	9	0.14381
10	1	0.14897
10	10	0.14593
10	2	0.14959
10	3	0.14649
10	4	0.14065
10	5	0.14242
10	6	0.14553
10	7	0.14316
10	8	0.14257
10	9	0.14479
